node,children_node
RefinanceAbnormal,RefinanceWithAbnormalPerformance
RefinanceAmount5Year,
RefinanceAndInvestmentAbnormal_new,FinanceAmount5YearLyr_new
RefinanceAndInvestmentAbnormal_new,InvestmentCashFlowOutCumu5YearLyr
RefinanceAndInvestmentAbnormal_newStar,FinanceAmount5YearLyr_newStar
RefinanceAndInvestmentAbnormal_newStar,InvestmentCashFlowOutCumu5YearLyrStar
RefinanceCount5Year,
RefinanceWithAbnormalPerformance,OperateRevenueGrowthSq
RefinanceWithAbnormalPerformance,RecurNetProfitSq
RegularAbnormal,AuditAbnormal
RegularAbnormal,OverGoodWill
RegularAbnormal,OverIntangibleAssets
RegularAbnormal_v2,AuditAbnormal
RegularAbnormal_v2,OverGoodWill_v2
RegularAbnormal_v2,OverIntangibleAssets
RestrictedCashRatio,
RetainedEarningAbnormal,RetainedEarningEquationLr
RetainedEarningEquationLr,
RevenueAbnormal,NegeRevenueGrowth
RevenueAbnormal,OverNonOperIncomeRatio
RevenueAbnormal,QuarterRevenueAbnormal
RevenueAbnormal,UnderNetOperateCashFlow2OperateProfit
RevenueAbnormal,UnderOperateCashIn2Revenue
RevenueAbnormal_v2,NegeRevenueGrowth
RevenueAbnormal_v2,OverNonOperIncomeRatio
RevenueAbnormal_v2,QuarterRevenueAbnormal
RevenueAbnormal_v2,UnderNetOperateCashFlow2OperateProfit_v2
RevenueAbnormal_v2,UnderOperateCashIn2Revenue_v2
RevenueAndARGrowthDeviationAbnormal,ARGrowthLr
RevenueAndARGrowthDeviationAbnormal,OperateRevenueGrowthTtm
RevenueCashabilityDeviation,
RevenueGrowthAbnormal,OperateRevenueGrowthLyr
RoaIndustryDeviationttm,
RoaIndustryDeviationttmStar,
ROIC,
SAFRExpenseAdjustDeviationLyr,
SAFRExpenseGrowthTtm,
SAFRExpenseGrowthTtmStar,
SAFRExpenseRatioGrowthLyr,
SAFRExpenseRatioGrowthTtm,
SAFRExpenseRatioTtm,
SAFRExpenseRatioTtmStar,
SalesCollectionRate,
SentimentScore,
ShortTermLoan2TotalAssetsDeviation,
slump_risk_predict,AdjustAbnormal
slump_risk_predict,AdvancedPaymentAbnormal
slump_risk_predict,AdvancedPaymentRatioLr
slump_risk_predict,ARGrowthLr
slump_risk_predict,ARTurnoverIndustryDeviationTtm
slump_risk_predict,AssetsAccountAbnormal
